Date;Filière;Valeur
2023-04;"Consommation d’électricité pour le pompage";0,375563629761
2023-05;"Consommation d’électricité pour le pompage";0,421574693203
2023-06;"Consommation d’électricité pour le pompage";0,299088336866
2023-07;"Consommation d’électricité pour le pompage";0,394449316024
2023-08;"Consommation d’électricité pour le pompage";0,434517227971
2023-09;"Consommation d’électricité pour le pompage";0,351141403207
2023-10;"Consommation d’électricité pour le pompage";0,472524909959
2023-11;"Consommation d’électricité pour le pompage";0,596486505503
2023-12;"Consommation d’électricité pour le pompage";0,71313993775
2024-01;"Consommation d’électricité pour le pompage";0,513232427984
2024-02;"Consommation d’électricité pour le pompage";0,617601561668
2024-03;"Consommation d’électricité pour le pompage";0,654884666185
2024-04;"Consommation d’électricité pour le pompage";0,762706407227
2024-05;"Consommation d’électricité pour le pompage";0,819696933342
2024-06;"Consommation d’électricité pour le pompage";0,561631864336
2024-07;"Consommation d’électricité pour le pompage";0,433779938911
2024-08;"Consommation d’électricité pour le pompage";0,662266945829
2024-09;"Consommation d’électricité pour le pompage";0,60275043859
2024-10;"Consommation d’électricité pour le pompage";0,636545066008
2024-11;"Consommation d’électricité pour le pompage";0,544466961829
2024-12;"Consommation d’électricité pour le pompage";0,626290127442
2025-01;"Consommation d’électricité pour le pompage";0,649075173332
2025-02;"Consommation d’électricité pour le pompage";0,432988217723
2025-03;"Consommation d’électricité pour le pompage";0,776211225893
2025-04;"Consommation d’électricité pour le pompage";0,762252485079
2025-05;"Consommation d’électricité pour le pompage";0,81657754602
2025-06;"Consommation d’électricité pour le pompage";0,587999832714
2025-07;"Consommation d’électricité pour le pompage";0,542465771297
2025-08;"Consommation d’électricité pour le pompage";0,629310807247
2025-09;"Consommation d’électricité pour le pompage";0,879883971336
2025-10;"Consommation d’électricité pour le pompage";0,783829586804
